Institute,Link,Coursename,Skills,Rating,Review,Level,Type,Duration,Platform
École Polytechnique,https://www.coursera.org/learn/plastic-electronics,plastic electronics,,4.6,223,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/physique-optique,physique optique,,4.7,53,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/physique-2-infinis-liens,physique 2 infinis liens,,4.7,39,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/physique-2-infinis-et-nous,physique 2 infinis et nous,,4.7,43,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/quantum-optics-single-photon,quantum optics single photon,,4.8,316,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/fluid-solid-interaction,fluid solid interaction,,4.8,708,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/mecanique-quantique,mecanique quantique,,4.8,139,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/physique-infiniment-petit,physique infiniment petit,,4.8,97,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/physique-2-infinis-infiniment-grand,physique 2 infinis infiniment grand,,4.8,53,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/quantum-optics-two-photons,quantum optics two photons,Cryptography,4.9,121,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/density-functional-theory,density functional theory,Mathematics,4.9,201,Advanced , Course , 1 - 4 Weeks,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/gis-2,gis 2,Spatial Analysis,0.0,0,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/gis-1,gis 1,SQL,3.6,83,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/sig-2,sig 2,"Business Analysis, Business Development, Business Psychology, Decision Making, Design and Product, Leadership and Management, Planning, Problem Solving, Strategy, Strategy and Operations",4.3,41,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/enseignes-et-afficheurs-led,enseignes et afficheurs led,"Business Analysis, Calculus, Data Analysis, Decision Making, Leadership and Management, Strategy, Strategy and Operations, Business Development, Business Psychology, Design and Product",4.3,14,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/environnement-urbain-afrique,environnement urbain afrique,,4.3,62,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/scala-parallel-programming,scala parallel programming,"Algorithms, Scala Programming",4.4,1800,Intermediate , Course , 1 - 4 Weeks,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/planification-mobilites,planification mobilites,,4.4,14,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/dsp1,dsp1,"Algebra, Linear Algebra, Mathematical Theory & Analysis, Algorithms, Applied Mathematics, Calculus, Critical Thinking",4.5,570,Intermediate , Course , 1 - 4 Weeks,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/scala-functional-program-design,scala functional program design,"Computer Programming, Programming Principles, Scala Programming, Theoretical Computer Science",4.5,3100,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/sig-1,sig 1,"Data Visualization, Databases, Spatial Analysis, SQL",4.5,279,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/interest-rate-models,interest rate models,,4.5,185,Advanced , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/thermo-apps,thermo apps,,4.5,10,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/mobilite-afrique,mobilite afrique,,4.5,19,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/specializations/digital-signal-processing,digital signal processing,"Mathematics, Mathematical Theory & Analysis, Algebra, Linear Algebra, Plot (Graphics), Algorithms, Applied Mathematics, Critical Thinking, Calculus",4.5,705,Intermediate , Specialization , 3 - 6 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/scala-spark-big-data,scala spark big data,"Big Data, Apache, Computer Programming, SQL, Scala Programming",4.6,2600,Intermediate , Course , 1 - 4 Weeks,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/mecanique-lagrangienne,mecanique lagrangienne,"Calculus, Problem Solving, Data Analysis, Mathematics, Algebra, Leadership and Management, Business Analysis, Programming Principles, Differential Equations",4.6,35,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/thermo-base,thermo base,Leadership and Management,4.6,55,Mixed , Course , 1 - 4 Weeks,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/mobiurba,mobiurba,Planning,4.6,115,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/mecanique-newton,mecanique newton,,4.6,111,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/microscopy,microscopy,,4.6,119,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/economie-sol-immobilier-2,economie sol immobilier 2,"Business Analysis, Business Psychology, Data Analysis, Decision Making, Design and Product, Leadership and Management, Planning, Strategy, Strategy and Operations, Problem Solving",4.7,52,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/effective-scala,effective scala,"Computer Programming, Scala Programming, Software Testing",4.7,162,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/smart-cities,smart cities,"Data Management, Innovation, Leadership and Management, Planning, Data Analysis, Strategy, Big Data, Transportation Operations Management, Internet Of Things",4.7,1700,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/economie-sol-immobilier-1,economie sol immobilier 1,"Finance, Financial Analysis, Calculus, Estimation, Algebra, Budget Management, Strategy and Operations",4.7,254,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/managing-urban-infrastructures-1,managing urban infrastructures 1,"Leadership and Management, Planning, Operations Management, Strategy and Operations, Project Management, Transportation Operations Management, Critical Thinking, Organizational Development, People Development, Problem Solving",4.7,770,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/iglus,iglus,"Leadership and Management, Planning, Resilience, Strategy and Operations, Strategy",4.7,174,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/dsp2,dsp2,"Mathematics, Mathematical Theory & Analysis",4.7,178,Intermediate , Course , 1 - 4 Weeks,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/villes-africaines-1,villes africaines 1,Planning,4.7,44,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/dsp4,dsp4,,4.7,67,Intermediate , Course , 1 - 4 Weeks,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/structures2,structures2,,4.7,18,Intermediate , Course , 3 - 6 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/african-cities1,african cities1,,4.7,19,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/bidonvilles,bidonvilles,,4.7,47,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/programmation-orientee-objet-cpp,programmation orientee objet cpp,"C Programming Language Family, Computer Programming, C++ Programming, Programming Principles",4.8,294,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/initiation-programmation-cpp,initiation programmation cpp,"Computer Programming, Algorithms, C Programming Language Family, C++ Programming, Programming Principles, Problem Solving, Computer Programming Tools, Computational Logic, Calculus",4.8,440,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/initiation-programmation-java,initiation programmation java,"Computer Programming, Java Programming, Programming Principles, Algorithms, Computer Programming Tools, Computational Logic, Javascript, Problem Solving",4.8,419,Beginner , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/scala-functional-programming,scala functional programming,"Computer Programming, Programming Principles, Computational Thinking, Critical Thinking, Data Structures, Scala Programming, Theoretical Computer Science",4.8,8200,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/scala2-functional-programming,scala2 functional programming,"Deep Learning, Python Programming, Computer Programming, Scala Programming",4.8,56,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/dsp3,dsp3,"Mathematics, Plot (Graphics)",4.8,76,Intermediate , Course , 1 - 4 Weeks,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/faecalsludge,faecalsludge,Planning,4.8,650,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/solid-waste-management,solid waste management,,4.8,3300,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/water-treatment,water treatment,,4.8,1000,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/sanitation,sanitation,,4.8,1100,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/mecanique-point-materiel,mecanique point materiel,,4.8,39,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/mecanique-solide,mecanique solide,,4.8,33,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/global-arctic,global arctic,,4.8,37,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique Fédérale de Lausanne,https://www.coursera.org/learn/structures,structures,,4.9,47,Beginner , Course , 1 - 3 Months,coursera
Advancing Women in Tech,https://www.coursera.org/learn/real-world-engineering-management-2,real world engineering management 2,"Cloud Engineering, People Management, Software Engineering",4.4,12,Mixed , Course , 1 - 4 Weeks,coursera
Advancing Women in Tech,https://www.coursera.org/learn/the-business-of-product-management-one,the business of product management one,"Leadership and Management, Product Management, Product Strategy, Marketing, Product Marketing, Strategy and Operations, Business Development, Design and Product, Market Analysis",4.5,760,Beginner , Course , 1 - 4 Weeks,coursera
Advancing Women in Tech,https://www.coursera.org/specializations/real-world-product-management,real world product management,"Leadership and Management, Product Strategy, Product Management, Strategy, Marketing, Strategy and Operations, Design and Product, Product Marketing, Business Development, Market Analysis",4.5,856,Beginner , Specialization , 3 - 6 Months,coursera
Advancing Women in Tech,https://www.coursera.org/learn/real-world-cloud-pm-1,real world cloud pm 1,"Business, Cloud Computing, Product Management",4.6,50,Beginner , Course , 1 - 4 Weeks,coursera
Advancing Women in Tech,https://www.coursera.org/learn/real-world-engineering-management-1,real world engineering management 1,"Leadership and Management, Cloud Engineering, People Management, Software Engineering",4.7,42,Beginner , Course , 1 - 4 Weeks,coursera
Advancing Women in Tech,https://www.coursera.org/learn/acing-product-management-interviews,acing product management interviews,Product Management,4.7,112,Beginner , Course , 1 - 4 Weeks,coursera
Advancing Women in Tech,https://www.coursera.org/learn/real-world-product-management-skills,real world product management skills,"Product Strategy, Leadership and Management, Product Management, Strategy",4.7,220,Beginner , Course , 1 - 4 Weeks,coursera
Advancing Women in Tech,https://www.coursera.org/specializations/real-world-cloud-pm,real world cloud pm,"Security Engineering, Cloud Computing, Business, Product Management",4.7,72,Beginner , Specialization , 1 - 3 Months,coursera
"Akamai Technologies, Inc.",https://www.coursera.org/learn/akamai-databases,akamai databases,,4.6,14,Beginner , Course , 1 - 3 Months,coursera
"Akamai Technologies, Inc.",https://www.coursera.org/learn/akamai-security,akamai security,"Computer Security Incident Management, Mobile Security, Network Security, Risk Management",4.8,12,Beginner , Course , 1 - 3 Months,coursera
"Akamai Technologies, Inc.",https://www.coursera.org/learn/akamai-operating-systems,akamai operating systems,"Leadership and Management, Operating Systems",4.8,53,Beginner , Course , 1 - 3 Months,coursera
"Akamai Technologies, Inc.",https://www.coursera.org/learn/akamai-networking,akamai networking,"Network Architecture, Network Security",4.8,48,Beginner , Course , 1 - 3 Months,coursera
"Akamai Technologies, Inc.",https://www.coursera.org/learn/akamai-web-apps,akamai web apps,,4.8,16,Beginner , Course , 1 - 3 Months,coursera
"Akamai Technologies, Inc.",https://www.coursera.org/professional-certificates/akamai-network-engineering,akamai network engineering,"Computer Security Incident Management, Leadership and Management, Mobile Security, Network Architecture, Network Security, Operating Systems, Risk Management",4.8,112,Beginner , Professional Certificate , 3 - 6 Months,coursera
"Akamai Technologies, Inc.",https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support,akamai customer consulting and support,"Computer Security Incident Management, Leadership and Management, Mobile Security, Network Architecture, Network Security, Operating Systems, Risk Management",4.8,126,Beginner , Professional Certificate , 3 - 6 Months,coursera
"Akamai Technologies, Inc.",https://www.coursera.org/learn/akamai-programming,akamai programming,,4.9,8,Beginner , Course , 1 - 3 Months,coursera
Alberta Machine Intelligence Institute,https://www.coursera.org/learn/machine-learning-classification-algorithms,machine learning classification algorithms,"Algorithms, Human Learning, Machine Learning, Applied Machine Learning, Machine Learning Algorithms, Machine Learning Software, Exploratory Data Analysis, Regression",4.7,410,Mixed , Course , 1 - 4 Weeks,coursera
Alberta Machine Intelligence Institute,https://www.coursera.org/learn/machine-learning-applied,machine learning applied,"Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Algorithms, Data Analysis",4.7,735,Intermediate , Course , 1 - 4 Weeks,coursera
Alibaba Cloud Academy,https://www.coursera.org/learn/alibaba-developer,alibaba developer,,0.0,0,Beginner , Course , 1 - 3 Months,coursera
Alibaba Cloud Academy,https://www.coursera.org/specializations/develop-and-operate-alibaba-cloud,develop and operate alibaba cloud,"Cloud Computing, DevOps",0.0,0,Beginner , Specialization , 3 - 6 Months,coursera
Alibaba Cloud Academy,https://www.coursera.org/learn/alibabacloudbigdata,alibabacloudbigdata,"Big Data, Cloud Computing",4.3,52,Intermediate , Course , 1 - 3 Months,coursera
Alibaba Cloud Academy,https://www.coursera.org/specializations/alibabacloud,alibabacloud,"Cloud Computing, Security Engineering, System Security, Network Security, Security Software, Software Security, Big Data",4.5,126,Beginner , Specialization , 3 - 6 Months,coursera
Alibaba Cloud Academy,https://www.coursera.org/learn/big-data-analysis-deep-dive,big data analysis deep dive,Big Data,4.6,28,Intermediate , Course , 1 - 3 Months,coursera
Alibaba Cloud Academy,https://www.coursera.org/learn/alibaba-cloud-computing,alibaba cloud computing,Cloud Computing,4.7,94,Beginner , Course , 1 - 3 Months,coursera
Alibaba Cloud Academy,https://www.coursera.org/learn/alibaba-cloud-security-solutions,alibaba cloud security solutions,"Cloud Computing, Security Engineering, System Security, Network Security, Security Software, Software Security",4.7,50,Beginner , Course , 1 - 3 Months,coursera
Amazon Ads,https://www.coursera.org/learn/foundations-of-retail-media,foundations of retail media,"Digital Marketing, E-Commerce",0.0,0,Beginner , Course , 1 - 3 Months,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-python-serverless,aws python serverless,Application Development,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/cloud-support-essentials,cloud support essentials,"Communication, DevOps, Operating Systems",0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/fundamentals-of-machine-learning-and-artificial-intelligence,fundamentals of machine learning and artificial intelligence,,0.0,0,Mixed , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-capstone-cloud-support-associate,aws capstone cloud support associate,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/the-abcs-of-aws,the abcs of aws,,0.0,0,Beginner , Course , 1 - 3 Months,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-glue-getting-started,aws glue getting started,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-securely-connecting-aws-iot-devices-to-the-cloud,aws securely connecting aws iot devices to the cloud,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/generative-ai-for-executives,generative ai for executives,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-amazon-managed-grafana-getting-started,aws amazon managed grafana getting started,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-introduction-to-serverless-development,aws introduction to serverless development,,0.0,0,Mixed , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-aws-security-encryption-fundamentals,aws aws security encryption fundamentals,,0.0,0,Mixed , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/data-engineering-on-aws-foundations,data engineering on aws foundations,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-introduction-to-database-migration-paxaf,aws introduction to database migration paxaf,,0.0,0,Mixed , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-migrating-from-microsoft-sql-server-to-amazon-rds,aws migrating from microsoft sql server to amazon rds,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-amazon-dynamodb-for-serverless-architectures,aws amazon dynamodb for serverless architectures,,0.0,0,Mixed , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-microsoft-on-aws-porting-assistant-for-net,aws microsoft on aws porting assistant for net,,0.0,0,Mixed , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/getting-started-with-amazon-comprehend,getting started with amazon comprehend,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/choosing-serverless-containers-for-net,choosing serverless containers for net,,0.0,0,Mixed , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/skills-and-best-practices-for-cloud-support-associates,skills and best practices for cloud support associates,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-fundamentals-migrating-to-the-cloud,aws fundamentals migrating to the cloud,"Amazon Web Services, Cloud Computing, Cloud Management, Cloud Engineering, Cloud-Based Integration, Cloud Load Balancing, Cloud Platforms, Cloud Standards, Continuous Delivery, Database Application, Planning",4.4,157,Intermediate , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/building-generative-ai-ready-organization,building generative ai ready organization,,4.4,28,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/machine-learning-on-aws,machine learning on aws,"Amazon Web Services, Machine Learning, Machine Learning Algorithms, Natural Language Processing, Deep Learning, Python Programming",4.5,104,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/amazon-bedrock-getting-started,amazon bedrock getting started,Benefits,4.5,51,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/developing-applications-in-python-on-aws,developing applications in python on aws,"Cloud API, Computer Programming, Python Programming, Software Architecture, Web Development",4.5,55,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/getting-started-data-analytics-aws,getting started data analytics aws,"Cloud Computing, Data Analysis",4.5,831,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-generative-ai-for-beginners,aws generative ai for beginners,"Data Analysis, Deep Learning, Machine Learning",4.5,28,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/planning-a-generative-ai-project,planning a generative ai project,Planning,4.5,63,Mixed , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/devops-aws-operate-monitor,devops aws operate monitor,"Amazon Web Services, Cloud Applications, Cloud Computing, Cloud Infrastructure, Cloud Management, Continuous Delivery, Continuous Integration, DevOps, Devops Tools, Leadership and Management",4.6,142,Intermediate , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/devops-aws-code-build-test,devops aws code build test,"Amazon Web Services, Cloud Applications, Cloud Computing, Cloud Infrastructure, Continuous Delivery, Continuous Integration, DevOps, Devops Tools, Software Engineering, Software Testing",4.6,259,Intermediate , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/containerized-applications-on-aws,containerized applications on aws,"Amazon Web Services, Cloud Computing, Cloud Applications, Cloud Infrastructure, DevOps, Kubernetes, Cloud Engineering, Computer Networking, Docker (Software), Microarchitecture",4.6,159,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/devops-aws-release-deploy,devops aws release deploy,"Amazon Web Services, Cloud Computing, Cloud Management, Cloud Standards, Continuous Delivery, Continuous Integration, DevOps, Devops Tools",4.6,139,Intermediate , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/cloud-practitioner-exam-prep,cloud practitioner exam prep,Cloud Computing,4.6,68,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/data-analytics-and-databases-aws,data analytics and databases aws,"Data Analysis, Data Architecture",4.6,30,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/amazon-codewhisperer,amazon codewhisperer,,4.6,71,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-certified-solutions-architect-associate,aws certified solutions architect associate,Cloud Computing,4.7,146,Intermediate , Course , 1 - 3 Months,coursera
Amazon Web Services,https://www.coursera.org/learn/introduction-to-designing-data-lakes-in-aws,introduction to designing data lakes in aws,"Amazon Web Services, Big Data, Data Management, Data Warehousing, Cloud Computing, Cloud Storage, Data Analysis, Data Architecture, Extract, Transform, Load, Cloud Platforms, Machine Learning",4.8,238,Intermediate , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,aws cloud practitioner essentials,"Amazon Web Services, Cloud Computing",4.8,1700,Beginner , Course , 1 - 3 Months,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-cloud-technical-essentials,aws cloud technical essentials,"Amazon Web Services, Cloud Computing, Cloud Storage",4.8,5100,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-handson-skills,aws handson skills,Cloud Computing,4.8,18,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/technical-support-for-aws-workloads,technical support for aws workloads,"Cloud Computing, Cloud Infrastructure, Cloud Storage, Customer Support",4.8,44,Beginner , Course , 1 - 4 Weeks,coursera
Amazon Web Services,https://www.coursera.org/learn/aws-cloud-careers,aws cloud careers,"Cloud Computing, Data Analysis",4.8,62,Beginner , Course , 1 - 4 Weeks,coursera
